"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Restful Booker API","Booking - UpdateBooking","Негативные сценарии","0","0","1","0","0"
"Restful Booker API","Booking - CreateBooking","Создание брони","0","0","4","0","0"
"Restful Booker API","Booking - GetBookingIds","Фильтрация","0","0","4","0","0"
"Restful Booker API","Booking - DeleteBooking","Негативные сценарии","0","0","1","0","0"
"Restful Booker API","Booking - PartialUpdateBooking","Негативные сценарии","0","0","1","0","0"
"Restful Booker API","Booking - UpdateBooking","Обновление (PUT)","0","0","2","0","0"
"Restful Booker API","Booking - DeleteBooking","Удаление (DELETE)","0","0","2","0","0"
"Restful Booker API","Auth","Валидация входных данных","0","0","3","0","0"
"Restful Booker API","Booking - GetBooking","Получение по ID","0","0","3","0","0"
"Restful Booker API","Auth","Создание токена","0","0","2","0","0"
"Restful Booker API","Booking - PartialUpdateBooking","Частичное обновление (PATCH)","0","0","2","0","0"
"Restful Booker API","Ping","Health check","0","0","1","0","0"
"Restful Booker API","Booking - CreateBooking","Негативные сценарии","0","0","1","0","0"
"Restful Booker API","Booking - GetBookingIds","Получение списка","0","0","1","0","0"
"Restful Booker API","Ping","Производительность","0","0","1","0","0"
"Restful Booker API","Booking - GetBooking","Негативные сценарии","0","0","1","0","0"
