"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 13 08:59:11 UTC 2026","Sun Sep 13 08:59:12 UTC 2026","765","tests.api","test_update_booking","TestUpdateBooking","","","Обновление брони без авторизации запрещено","24. Обновление бронирования без авторизации — должно быть запрещено."
"passed","Sun Sep 13 08:58:26 UTC 2026","Sun Sep 13 08:58:29 UTC 2026","2304","tests.api","test_create_booking","TestCreateBooking","","","Создание бронирования с additionalneeds","19. Создание бронирования с additionalneeds."
"passed","Sun Sep 13 08:58:22 UTC 2026","Sun Sep 13 08:58:24 UTC 2026","2313","tests.api","test_create_booking","TestCreateBooking","","","Успешное создание бронирования","17. Успешное создание бронирования."
"passed","Sun Sep 13 08:58:50 UTC 2026","Sun Sep 13 08:58:51 UTC 2026","770","tests.api","test_get_booking_ids","TestGetBookingIds","","","Фильтрация бронирований по firstname","9. Фильтрация по firstname."
"passed","Sun Sep 13 08:58:52 UTC 2026","Sun Sep 13 08:58:53 UTC 2026","805","tests.api","test_get_booking_ids","TestGetBookingIds","","","Фильтрация по несуществующему имени возвращает пустой список","12. Фильтрация с несуществующим именем — пустой список."
"passed","Sun Sep 13 08:58:36 UTC 2026","Sun Sep 13 08:58:39 UTC 2026","3004","tests.api","test_delete_booking","TestDeleteBooking","","","DELETE без авторизации запрещён","30. Удаление без авторизации — должно быть запрещено."
"passed","Sun Sep 13 08:59:00 UTC 2026","Sun Sep 13 08:59:01 UTC 2026","778","tests.api","test_partial_update_booking","TestPartialUpdateBooking","","","PATCH без авторизации запрещён","27. PATCH без авторизации — должно быть запрещено."
"passed","Sun Sep 13 08:58:24 UTC 2026","Sun Sep 13 08:58:26 UTC 2026","2295","tests.api","test_create_booking","TestCreateBooking","","","Создание брони возвращает корректные данные","18. Создание и проверка возвращённых данных."
"passed","Sun Sep 13 08:58:29 UTC 2026","Sun Sep 13 08:58:31 UTC 2026","2300","tests.api","test_create_booking","TestCreateBooking","","","Создание брони с depositpaid=false","20. Создание бронирования с depositpaid=false."
"passed","Sun Sep 13 08:59:05 UTC 2026","Sun Sep 13 08:59:06 UTC 2026","758","tests.api","test_update_booking","TestUpdateBooking","","","Обновление брони с Cookie-токеном","22. Обновление бронирования с Cookie-токеном."
"passed","Sun Sep 13 08:58:52 UTC 2026","Sun Sep 13 08:58:52 UTC 2026","760","tests.api","test_get_booking_ids","TestGetBookingIds","","","Фильтрация бронирований по датам checkin/checkout","11. Фильтрация по датам checkin/checkout."
"passed","Sun Sep 13 08:58:33 UTC 2026","Sun Sep 13 08:58:35 UTC 2026","2274","tests.api","test_delete_booking","TestDeleteBooking","","","Удаление брони с Cookie-токеном","28. Удаление бронирования с Cookie-токеном."
"passed","Sun Sep 13 08:58:21 UTC 2026","Sun Sep 13 08:58:22 UTC 2026","755","tests.api","test_auth","TestAuth","","","Создание токена без имени пользователя","5. Создание токена без имени пользователя."
"passed","Sun Sep 13 08:59:08 UTC 2026","Sun Sep 13 08:59:09 UTC 2026","766","tests.api","test_update_booking","TestUpdateBooking","","","Обновление брони с Basic Auth","23. Обновление бронирования с Basic Auth."
"passed","Sun Sep 13 08:58:20 UTC 2026","Sun Sep 13 08:58:21 UTC 2026","772","tests.api","test_auth","TestAuth","","","Создание токена без пароля","4. Создание токена без пароля."
"passed","Sun Sep 13 08:58:20 UTC 2026","Sun Sep 13 08:58:20 UTC 2026","767","tests.api","test_auth","TestAuth","","","Создание токена с пустым телом запроса","3. Создание токена с пустым телом запроса."
"passed","Sun Sep 13 08:58:40 UTC 2026","Sun Sep 13 08:58:41 UTC 2026","748","tests.api","test_get_booking","TestGetBooking","","","Получение бронирования по ID в формате JSON","13. Получение бронирования по ID в формате JSON."
"passed","Sun Sep 13 08:58:35 UTC 2026","Sun Sep 13 08:58:36 UTC 2026","1511","tests.api","test_delete_booking","TestDeleteBooking","","","Удаление брони с Basic Auth","29. Удаление бронирования с Basic Auth."
"passed","Sun Sep 13 08:58:18 UTC 2026","Sun Sep 13 08:58:19 UTC 2026","917","tests.api","test_auth","TestAuth","","","Успешное создание токена с валидными данными","Проверяет, что POST /auth с валидными учётными данными возвращает непустой токен."
"passed","Sun Sep 13 08:58:57 UTC 2026","Sun Sep 13 08:58:58 UTC 2026","731","tests.api","test_partial_update_booking","TestPartialUpdateBooking","","","Частичное обновление нескольких полей","26. Частичное обновление нескольких полей."
"passed","Sun Sep 13 08:59:03 UTC 2026","Sun Sep 13 08:59:03 UTC 2026","775","tests.api","test_ping","TestPing","","","Проверка работоспособности API","GET /ping возвращает 201 Created, если API жив."
"passed","Sun Sep 13 08:58:43 UTC 2026","Sun Sep 13 08:58:44 UTC 2026","740","tests.api","test_get_booking","TestGetBooking","","","Получение бронирования по ID в формате XML","14. Получение бронирования по ID в формате XML."
"passed","Sun Sep 13 08:58:51 UTC 2026","Sun Sep 13 08:58:52 UTC 2026","745","tests.api","test_get_booking_ids","TestGetBookingIds","","","Фильтрация бронирований по lastname","10. Фильтрация по lastname."
"passed","Sun Sep 13 08:58:54 UTC 2026","Sun Sep 13 08:58:55 UTC 2026","781","tests.api","test_partial_update_booking","TestPartialUpdateBooking","","","Частичное обновление только firstname","25. Частичное обновление — только firstname."
"passed","Sun Sep 13 08:58:31 UTC 2026","Sun Sep 13 08:58:32 UTC 2026","738","tests.api","test_create_booking","TestCreateBooking","","","Создание брони с пустым телом запроса","21. Создание бронирования с пустым телом."
